,reviews,stars,date,country,verified,corpus
0,"✅ Trip Verified |  The incoming and outgoing flight was delayed because French Air Traffic Controllers were on strike so we were routed over Germany, and not BA's fault. O arrival the pilot announced we could not pull onto the stand as no ground crew had showed up to turn on the automatic last metre guidance. It took around 40 minutes to find someone. Then when that was done there was a further delay as there were no ground staff to operate the skybridge. All told we were trapped on the plane for over an hour within metres of our gate. Total disruption, wasted time. Absolutely no excuse for this.",5,2023-03-10,United Kingdom,True,incoming outgoing flight delayed french air traffic controller strike routed germany ba fault arrival pilot announced could pull onto stand ground crew showed turn automatic last metre guidance took around minute find someone done delay ground staff operate skybridge told trapped plane hour within metre gate total disruption wasted time absolutely excuse
1,"✅ Trip Verified |  Back in December my family and I as we were getting onto the plane were refused. Even though we had boarding passes and seats allocated and had booked 6 months in advance we were refused. It turns out that someone had not turned up to work and they couldn't let all the passengers on the plane. So quite randomly (not) 9 people were selected and turned away. We were selected as we had no check in luggage and it was easier to boot us off despite them not knowing my circumstances, if I had connecting flights in London etc. I sought compensation from BA (which I was told I could do) and what an absolute nightmare this process has been. They wouldn't acknowledge my complaint for my family until I had an authorisation letter from them saying I could act on their behalf. Even though, I booked and paid for the tickets. So, I uploaded the authorisation letter no less than 10 times. Every time they told me they received it and every time I followed it up they told me they hadn't. There was no other way except to post from Australia to the UK to some office. Eventually, it finally go through to them. I have now chased up the reimbursement four times. Each time they tell me it has been sent and to be patient. Today they tell me that they need to check my account details. So, again, I send them the same information that I have done before. AND I wait patiently for my reimbursement. I am convinced that their business model is for you to get so frustrated you just go away. Well, you know what I won't.",1,2023-03-10,Australia,True,back december family getting onto plane refused even though boarding pass seat allocated booked month advance refused turn someone turned work let passenger plane quite randomly people selected turned away selected check luggage easier boot u despite knowing circumstance connecting flight london etc sought compensation ba told could absolute nightmare process acknowledge complaint family authorisation letter saying could act behalf even though booked paid ticket uploaded authorisation letter le time every time told received every time followed told way except post australia uk office eventually finally go chased reimbursement four time time tell sent patient today tell need check account detail send information done wait patiently reimbursement convinced business model get frustrated go away well know
2,"✅ Trip Verified |  As usual the flight is delayed this week, it already 3 hours and I’m held on a bus waiting to get taken to the plane. I really can’t explain how much I detest British Airways. If it was a cheap budget airline I could accept it, but it’s premium prices for the most unreliable service.",1,2023-03-10,United Kingdom,True,usual flight delayed week already hour held bus waiting get taken plane really explain much detest british airway cheap budget airline could accept premium price unreliable service
3,"✅ Trip Verified | A short BA euro trip and this is where BA excel. Clean aircraft, good crew, professional, on time (within LHR standards) and a good value product delivered. Pity the in flight food sales were not a bit more exciting and appealing as more than a few asked about the non existent hot food options. But good overall. Check in self service is great now once you know how to use it with plenty assistance on hand for those who can’t.",1,2023-03-09,United Kingdom,True,short ba euro trip ba excel clean aircraft good crew professional time within lhr standard good value product delivered pity flight food sale bit exciting appealing asked non existent hot food option good overall check self service great know use plenty assistance hand
4,"Not Verified |  We are flying Business class for most of our flight and then Premium economy for the balance. In addition to the plane tickets we paid an additional $225/pp for our seats. Now BA is changing planes, they arbitrarily put us in separate seating areas (my wife & I) when we were sitting together before and they want to charge one of us additional $$ to be re-seated next to each other.  They moved our seats away from each other and we shouldn't have to pay for their change of planes and their decision to not have us sitting together! We haven't even flown yet, this airline is horrible.",8,2023-03-08,United States,False,verified flying business class flight premium economy balance addition plane ticket paid additional pp seat ba changing plane arbitrarily put u separate seating area wife sitting together want charge one u additional seated next moved seat away pay change plane decision u sitting together even flown yet airline horrible
5,"✅ Trip Verified |  I am in Australia and on Friday night, went online to book a flight from Heathrow to Malpensa (Milan). I did not realise that when I specifically searched for flights to Malpensa it offered options to other airports in Milan. When I received my itinerary by email, it was to another airport in Milan. The itinerary email did not provide any means of contact for changes or advise me of the 24 hour cooling off period. As it was the weekend here I was unable to reach their office until Monday when they advised me there was no refund (other than fees) as I had missed the 24 hour cooling off period. Apparently as the ticket was issued in the UK, I needed to contact them. I have now cancelled the ticket and I will be going out of my way in the future to avoid flying British Airways.",1,2023-03-06,Australia,True,australia friday night went online book flight heathrow malpensa milan realise specifically searched flight malpensa offered option airport milan received itinerary email another airport milan itinerary email provide mean contact change advise hour cooling period weekend unable reach office monday advised refund fee missed hour cooling period apparently ticket issued uk needed contact cancelled ticket going way future avoid flying british airway
6,"✅ Trip Verified |  At 7.54 am on the day of travel whilst driving to London Heathrow I received an email advising my flight had been cancelled. I was offered an alternative flight with American Airlines which I had no alternative but to accept as I must travel today. I was flying to LA to see a family member who is end of life. The American Airlines desk downgrade my cabin from premium economy to economy. Tried 3 times BA provide telephone number, total useless, no help, given me wrong email address for sending my complains given to me in the email. I have been a BA frequent flyer for decades and have been a loyal customer. I now find I am travelling 11 hours in Economy without even the possibility of a refund let alone an upgrade. This is completely unacceptable. What has happened to this company? I have had better treatment from Ryanair.",1,2023-03-04,United Kingdom,True,day travel whilst driving london heathrow received email advising flight cancelled offered alternative flight american airline alternative accept must travel today flying la see family member end life american airline desk downgrade cabin premium economy economy tried time ba provide telephone number total useless help given wrong email address sending complains given email ba frequent flyer decade loyal customer find travelling hour economy without even possibility refund let alone upgrade completely unacceptable happened company better treatment ryanair
7,"✅ Trip Verified |  Would happily fly them again. I had a personal emergency and was allowed to reschedule my flights free of charge. Onboard service on LHR-IST was no frills, but JFK-LHR was impeccable: good food, lots of movies/cds on the IFE, open bar service the entire flight. Friendly flight attendants always happy to provide an extra drink/snack.",2,2023-03-02,United States,True,would happily fly personal emergency allowed reschedule flight free charge onboard service lhr ist frill jfk lhr impeccable good food lot movie cd ife open bar service entire flight friendly flight attendant always happy provide extra drink snack
8,"Not Verified |  Flew premium, only worth the extra money for the bit of extra room. Penny pinching means there’s no other benefit - one drink service on 10 hour flight, no fizz offered before take off, poor food, boarding was badly organised. Food left on tables 30 min before landing with no tea and coffee offered. Few small cups of water passed around but nothing “premium” about this. New planes have been decorated terribly - feels like you’re in a dentist waiting room. Devoid of any personality or joy. Only fly if the only option, only fly premium if it’s not too expensive - seriously not worth much more than economy these days, especially if you’re in the middle 4.",10,2023-03-02,United Kingdom,False,verified flew premium worth extra money bit extra room penny pinching mean benefit one drink service hour flight fizz offered take poor food boarding badly organised food left table min landing tea coffee offered small cup water passed around nothing premium new plane decorated terribly feel like dentist waiting room devoid personality joy fly option fly premium expensive seriously worth much economy day especially middle
9,"✅ Trip Verified |  First our morning flight was cancelled and moved to an afternoon flight, understanding sometimes these situations are unavoidable, however it lost us one day's experience in Cairo. We were quite upset when we got onto the plane and were squashed into regular seats, on both flights. As my husband had spasms, he had to stretch his legs across my lap, and not once did ANY of the attendants ask if we were okay as we were clearly struggling. As the service came to us for food, each choice we made we were told, they were all out and we had to settle for what they had left. I did the correct thing once home and sent in my complaints. They responded with a $100 pound voucher for our group.",4,2023-02-28,Canada,True,first morning flight cancelled moved afternoon flight understanding sometimes situation unavoidable however lost u one day experience cairo quite upset got onto plane squashed regular seat flight husband spasm stretch leg across lap attendant ask okay clearly struggling service came u food choice made told settle left correct thing home sent complaint responded pound voucher group
